name,kind,groups,target_family,random_seed,fourier,deformable,supcon_margin,adamnorm
g3_FSA__fourier_d9_s4_all__supm_m0p1_s64_t0p1_ls0_lr0p001__adamnorm_lr0p0001,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d9_s4_all,,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,adamnorm_stagemask_001101_k357_lr0p0001
g3_FSA__fourier_d9_s4_all__supm_m0p1_s64_t0p1_ls0_lr0p001__adamnorm_lr0p0003,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d9_s4_all,,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,adamnorm_stagemask_001101_k357_lr0p0003
g3_FSA__fourier_d9_s4_all__supm_m0p05_s30_t0p1_ls1_lr0p0003__adamnorm_lr0p0001,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d9_s4_all,,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,adamnorm_stagemask_001101_k357_lr0p0001
g3_FSA__fourier_d9_s4_all__supm_m0p05_s30_t0p1_ls1_lr0p0003__adamnorm_lr0p0003,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d9_s4_all,,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,adamnorm_stagemask_001101_k357_lr0p0003
g3_FSA__fourier_d9_s4_all__supm_m0p05_s30_t0p05_ls1_lr0p0003__adamnorm_lr0p0001,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d9_s4_all,,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,adamnorm_stagemask_001101_k357_lr0p0001
g3_FSA__fourier_d9_s4_all__supm_m0p05_s30_t0p05_ls1_lr0p0003__adamnorm_lr0p0003,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d9_s4_all,,supm_mixnet_s_m0p05_s30_t0p05_ls1_lr0p0003_p128_projected,adamnorm_stagemask_001101_k357_lr0p0003
g3_FSA__fourier_d1_s2b3__supm_m0p1_s64_t0p1_ls0_lr0p001__adamnorm_lr0p0001,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d1_s2b3,,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,adamnorm_stagemask_001101_k357_lr0p0001
g3_FSA__fourier_d1_s2b3__supm_m0p1_s64_t0p1_ls0_lr0p001__adamnorm_lr0p0003,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d1_s2b3,,supm_mixnet_s_m0p1_s64_t0p1_ls0_lr0p001_p128_projected,adamnorm_stagemask_001101_k357_lr0p0003
g3_FSA__fourier_d1_s2b3__supm_m0p05_s30_t0p1_ls1_lr0p0003__adamnorm_lr0p0001,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d1_s2b3,,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,adamnorm_stagemask_001101_k357_lr0p0001
g3_FSA__fourier_d1_s2b3__supm_m0p05_s30_t0p1_ls1_lr0p0003__adamnorm_lr0p0003,three_group,fourier+supcon_margin+adamnorm,fourier_supcon_margin_adamnorm,2026,fourier_d1_s2b3,,supm_mixnet_s_m0p05_s30_t0p1_ls1_lr0p0003_p128_projected,adamnorm_stagemask_001101_k357_lr0p0003
